date,precipitation,spi3,spi6,precip_anomaly,precipitation_7day,precipitation_30day,disease_cases,pop_count_total,pop_density_mean,avg_rad_mean,tmin,tmax,tave,pr,temp_range,tave_7day,tave_30day
2011-08-01,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,407.9413492063492,409.6977703703704,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.43316666666667,31.29405555555556,28.36283333333333,1123.33,5.860888888888887,27.086206349206343,27.520016666666667
2011-08-02,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,405.6503650793651,409.1632074074074,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.351944444444445,30.69188888888889,28.022388888888887,730.17,5.339944444444445,27.440309523809525,27.547835185185185
2011-08-03,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,403.3593809523809,408.6286444444444,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.762944444444443,31.246055555555557,28.504722222222224,595.55,5.483111111111111,27.78104761904762,27.58721481481481
2011-08-04,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,401.0683968253968,408.0940814814815,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.701944444444447,30.769166666666667,28.235277777777775,1415.84,5.06722222222222,28.04496031746032,27.658842592592592
2011-08-05,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,398.7774126984127,407.5595185185185,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.85816666666667,29.861555555555555,27.36,4848.79,5.003388888888885,27.96814285714286,27.69515925925926
2011-08-06,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,396.4864285714286,407.0249555555556,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.65488888888889,29.011333333333333,26.83333333333333,8642.34,4.356444444444442,27.779039682539683,27.685809259259266
2011-08-07,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,406.49039259259257,29.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.873944444444447,29.839166666666667,27.357000000000003,437.09,4.96522222222222,27.81079365079365,27.694116666666662
2011-08-08,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,405.9558296296297,22.0,2234.1904023488364,6782.15498360974,9.003149135397468,27.327666666666666,31.66077777777777,29.495166666666663,424.81,4.3331111111111085,27.972555555555555,27.72052777777777
2011-08-09,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,405.4212666666666,22.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.22555555555556,32.64483333333333,28.9355,521.39,7.419277777777772,28.103,27.77824629629629
2011-08-10,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,404.8867037037037,22.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.404722222222222,30.203666666666667,27.304166666666667,3935.62,5.798944444444441,27.931492063492065,27.752488888888887
2011-08-11,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,404.3521407407407,22.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.55588888888889,29.39883333333333,26.976555555555557,3274.21,4.842944444444441,27.751674603174603,27.70602407407408
2011-08-12,394.1954444444444,1.3185,1.7893333333333332,144.86722222222224,394.1954444444444,403.8175777777777,22.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.39744444444445,32.02527777777778,27.71194444444444,656.53,8.627833333333335,27.80195238095238,27.69684444444444
