date,no2,co,so2,o3,pm10,pm25,ndvi
2013-09-30,1.41,0.05768555555555555,0.13233333333333333,26.93,19.18,13.58,0.5054444444444445
2013-10-01,1.3,0.06494444444444444,0.17155555555555557,26.969999999999995,16.51,11.62,0.44566666666666666
2013-10-02,1.43,0.07074666666666667,0.15155555555555555,27.3,22.61,15.96,0.5260555555555555
2013-10-03,1.41,0.07021111111111111,0.14155555555555557,27.530000000000005,23.79,16.98,0.4538888888888889
2013-10-04,1.48,0.06581666666666666,0.1317777777777778,27.16,18.16,12.85,0.5262222222222223
2013-10-05,1.16,0.06611666666666667,0.1507777777777778,27.16,18.8,13.15,0.5262222222222223
2013-10-06,1.3,0.06357555555555557,0.17077777777777778,28.04,19.11,13.469999999999999,0.4538888888888889
2013-10-07,1.95,0.09315333333333334,0.2336666666666667,28.67,37.43,26.64,0.5270555555555556
2013-10-08,2.55,0.11313777777777777,0.14544444444444446,31.08,43.17,30.75,0.44922222222222224
2013-10-09,2.24,0.11271666666666667,0.1831111111111111,33.14,51.0,36.1,0.5134444444444445
2013-10-10,1.37,0.12624333333333335,0.16211111111111112,32.61,42.6,30.15,0.44922222222222224
2013-10-11,0.72,0.1164688888888889,0.14155555555555557,31.270000000000003,42.61,29.99,0.5134444444444445
2013-10-12,0.59,0.08433555555555555,0.19944444444444442,27.76,27.12,18.65,0.5134444444444445
2013-10-13,1.22,0.06795444444444444,0.27922222222222226,27.76,14.87,10.38,0.44922222222222224
2013-10-14,1.9700000000000002,0.07380777777777778,0.23944444444444446,27.780000000000005,19.66,13.9,0.5134444444444445
2013-10-15,2.75,0.08302666666666667,0.20411111111111113,27.83,27.01,19.28,0.44922222222222224
2013-10-16,2.5,0.07492888888888889,0.35488888888888886,27.71,30.219999999999995,21.41,0.5134444444444445
2013-10-17,1.13,0.07791,0.5292222222222223,32.44,29.61,20.63,0.44922222222222224
2013-10-18,1.19,0.08640777777777778,0.6323333333333334,37.71,20.8,14.34,0.5094444444444445
2013-10-19,1.34,0.0882288888888889,0.6276666666666667,34.97,18.95,13.260000000000002,0.4454444444444444
2013-10-20,1.32,0.08110888888888888,0.4663333333333333,34.29,18.34,12.63,0.5116666666666666
2013-10-21,1.33,0.08344111111111112,0.3884444444444445,34.99,19.9,13.55,0.5116666666666666
2013-10-22,1.73,0.08334111111111112,0.49766666666666665,35.19,24.969999999999995,16.83,0.44522222222222224
2013-10-23,2.26,0.10387888888888888,0.41177777777777774,34.25,26.01,17.85,0.5114444444444445
2013-10-24,2.02,0.09170222222222221,0.1831111111111111,30.11,22.09,15.45,0.44522222222222224
2013-10-25,2.47,0.08934777777777778,0.15366666666666667,33.25,35.42,24.91,0.5097222222222222
2013-10-26,2.39,0.10484111111111112,0.2975555555555555,32.67,27.89,19.59,0.44522222222222224
2013-10-27,1.23,0.10030222222222222,0.5837777777777777,34.79,19.68,13.609999999999998,0.5097222222222222
2013-10-28,1.05,0.1068511111111111,0.5084444444444445,35.49,27.520000000000003,18.96,0.5097222222222222
2013-10-29,0.87,0.09595333333333333,0.48788888888888887,35.75,22.68,15.83,0.4484444444444444
2013-10-30,1.49,0.08898444444444444,0.5007777777777778,34.8,29.63,20.91,0.5097222222222222
2013-10-31,2.81,0.08529444444444444,0.3814444444444444,33.12,29.6,20.98,0.4484444444444444
2013-11-01,2.54,0.08713444444444443,0.6448888888888888,31.39,24.85,17.65,0.518888888888889
2013-11-02,1.87,0.08023666666666666,0.9804444444444443,29.74,21.49,15.13,0.4514444444444445
2013-11-03,1.94,0.06776222222222222,0.8506666666666667,27.39,16.17,11.27,0.5275555555555556
2013-11-04,1.31,0.06263555555555557,0.613,28.92,12.05,8.17,0.4511666666666666
2013-11-05,1.5,0.06927888888888889,0.6656666666666667,28.1,19.04,13.17,0.5275555555555556
2013-11-06,1.34,0.06680888888888889,0.632,29.92,21.65,14.38,0.5245
2013-11-07,0.99,0.06474,0.39822222222222226,32.14,22.49,14.44,0.4512222222222222
2013-11-08,0.55,0.05951333333333333,0.23944444444444446,32.31,19.16,11.24,0.5245
2013-11-09,1.41,0.06617,0.5532222222222223,29.2,19.83,13.65,0.4512222222222222
2013-11-10,1.41,0.06482777777777778,0.6355555555555555,27.24,24.08,15.719999999999999,0.5245
2013-11-11,1.2,0.0691711111111111,0.4947777777777778,31.82,23.65,14.91,0.4479444444444444
2013-11-12,0.99,0.06972777777777778,0.4166666666666667,31.88,16.23,10.33,0.5242222222222223
2013-11-13,1.98,0.06593111111111111,0.4731111111111111,29.5,14.84,10.3,0.5242222222222223
2013-11-14,2.42,0.06960777777777777,0.8987777777777778,27.979999999999997,18.61,12.96,0.4479444444444444
2013-11-15,1.52,0.06326888888888889,0.763,28.1,19.83,13.57,0.5145
2013-11-16,1.44,0.06637444444444444,0.6237777777777778,31.060000000000002,17.51,11.92,0.45572222222222225
2013-11-17,1.51,0.06964111111111111,0.5145555555555555,34.06,21.83,14.91,0.5018888888888889
2013-11-18,1.5800000000000003,0.0737711111111111,0.5337777777777778,32.74,18.68,12.93,0.43850000000000006
2013-11-19,1.54,0.07754,0.4066666666666667,33.5,20.32,13.969999999999999,0.5059444444444445
2013-11-20,1.04,0.06958444444444445,0.45511111111111113,36.48,20.94,14.57,0.43850000000000006
2013-11-21,1.08,0.06434555555555556,0.5827777777777777,31.75,15.52,10.25,0.5059444444444445
2013-11-22,1.33,0.06803777777777777,0.6916666666666665,34.47,22.32,14.59,0.5059444444444445
2013-11-23,2.0,0.0625388888888889,0.6571111111111111,32.56,15.640000000000002,10.76,0.43850000000000006
2013-11-24,2.05,0.06417666666666666,0.8616666666666666,29.14,13.71,9.61,0.5123888888888889
2013-11-25,2.11,0.07211444444444445,0.9191111111111111,30.41,16.13,11.24,0.44183333333333336
2013-11-26,1.87,0.07185333333333334,0.8104444444444444,29.530000000000005,22.56,15.54,0.5062777777777778
2013-11-27,1.68,0.07457555555555556,0.966,29.29,18.77,12.85,0.44099999999999995
2013-11-28,1.81,0.07307555555555556,0.7424444444444444,29.45,15.48,10.75,0.5062222222222222
2013-11-29,1.13,0.06333777777777778,0.38711111111111113,29.310000000000002,16.3,11.04,0.5147777777777779
2013-11-30,1.19,0.06477888888888889,0.494,30.82,14.37,9.73,0.44622222222222224
2013-12-01,1.61,0.06543,0.7043333333333334,30.939999999999998,23.5,16.04,0.5102777777777778
2013-12-02,1.61,0.06640666666666667,0.606111111111111,27.21,17.89,12.489999999999998,0.44622222222222224
2013-12-03,1.7200000000000002,0.06690111111111112,0.5774444444444444,28.85,20.99,14.68,0.5148333333333334
2013-12-04,1.27,0.07221666666666667,0.5668888888888889,34.83,14.93,10.23,0.4511666666666667
2013-12-05,1.1,0.07330666666666667,0.4661111111111111,33.87,17.04,11.59,0.4715555555555555
2013-12-06,1.27,0.08061,0.6222222222222222,31.35,17.41,11.75,0.4511666666666667
2013-12-07,1.88,0.0728111111111111,0.8398888888888889,30.38,23.14,16.1,0.4715555555555555
2013-12-08,2.03,0.07363777777777777,0.8193333333333332,30.84,16.28,11.4,0.4715555555555555
2013-12-09,2.16,0.06692000000000001,0.7153333333333333,31.85,14.25,10.07,0.4511666666666667
2013-12-10,2.47,0.06641222222222222,0.7053333333333333,29.84,25.14,17.54,0.48316666666666663
2013-12-11,1.71,0.06373,0.8691111111111111,30.76,13.530000000000001,9.39,0.4542777777777778
2013-12-12,1.31,0.06484333333333334,0.8008888888888889,30.21,15.93,10.89,0.4915
2013-12-13,1.26,0.06453,0.6832222222222222,29.51,16.38,10.99,0.44955555555555554
2013-12-14,1.43,0.06477666666666666,0.623,31.85,23.58,15.65,0.4713333333333333
2013-12-15,1.46,0.06453,0.632,33.89,22.91,15.010000000000002,0.4713333333333333
2013-12-16,1.79,0.07024,0.8498888888888888,31.520000000000003,23.09,15.260000000000002,0.44955555555555554
2013-12-17,2.18,0.07553,0.9555555555555556,32.25,16.1,11.0,0.4713333333333333
2013-12-18,2.69,0.07389111111111112,0.9645555555555556,31.65,15.88,11.12,0.44572222222222224
2013-12-19,2.56,0.07529333333333334,1.0027777777777778,30.310000000000002,25.18,17.53,0.4777222222222222
2013-12-20,2.01,0.06965333333333333,0.9914444444444445,30.62,16.49,11.48,0.4504444444444444
2013-12-21,1.65,0.07403777777777779,0.7322222222222223,32.6,17.02,11.640000000000002,0.49516666666666664
2013-12-22,1.41,0.07453777777777779,0.6924444444444444,31.82,16.36,10.95,0.4504444444444444
2013-12-23,1.2,0.07063,0.7801111111111112,31.41,17.45,11.390000000000002,0.49516666666666664
2013-12-24,1.44,0.07193222222222222,0.8891111111111111,33.42,10.79,7.26,0.49516666666666664
2013-12-25,1.7,0.07189222222222223,0.9822222222222223,35.77,16.61,11.15,0.4504444444444444
2013-12-26,2.15,0.0768211111111111,1.133,35.15,14.42,10.05,0.511
2013-12-27,1.99,0.08002333333333334,0.724,34.2,17.49,12.13,0.45038888888888895
2013-12-28,0.98,0.09541666666666668,0.3763333333333333,35.26,12.02,8.1,0.5138888888888888
2013-12-29,0.97,0.10936222222222224,0.29788888888888887,38.03,15.7,10.14,0.4507222222222222
2013-12-30,0.98,0.09068555555555555,0.39555555555555555,37.47,15.780000000000001,10.2,0.5138888888888888
2013-12-31,0.97,0.08017,0.6027777777777777,34.81,19.07,12.16,0.5139444444444444
2014-01-01,0.99,0.08363555555555555,0.5612222222222222,34.14,15.510000000000002,10.0,0.4542222222222222
2014-01-02,1.07,0.0811011111111111,0.4361111111111111,35.04,17.32,11.33,0.5318333333333334
2014-01-03,1.2,0.07763777777777778,0.5845555555555555,35.91,14.02,9.41,0.4542222222222222
2014-01-04,1.16,0.07455333333333333,0.5563333333333335,35.28,8.17,5.64,0.5412777777777779
2014-01-05,1.15,0.07271444444444446,0.5061111111111111,34.42,14.94,10.12,0.4542222222222222
2014-01-06,1.06,0.07110222222222222,0.39555555555555555,34.13,13.37,9.03,0.5413333333333333
2014-01-07,1.05,0.07471888888888889,0.3966666666666667,36.76,22.99,15.35,0.4542222222222222
2014-01-08,1.14,0.07342666666666667,0.35766666666666663,36.81,23.4,15.84,0.5413333333333333
2014-01-09,0.9199999999999999,0.08229222222222222,0.349,35.95,32.18,22.33,0.5413333333333333
2014-01-10,0.53,0.0781388888888889,0.31,36.83,25.29,16.32,0.4542222222222222
2014-01-11,0.53,0.09626888888888888,0.25922222222222224,39.37,33.04,20.3,0.5413333333333333
2014-01-12,0.53,0.08364555555555554,0.23977777777777776,40.16,27.74,16.64,0.4542222222222222
2014-01-13,0.56,0.0804688888888889,0.25866666666666666,37.63,17.19,10.42,0.5413333333333333
2014-01-14,0.47,0.07395333333333333,0.249,37.85,15.510000000000002,9.57,0.4542222222222222
2014-01-15,0.45,0.0835388888888889,0.22922222222222224,36.74,20.81,12.13,0.5413333333333333
2014-01-16,0.47,0.09849000000000001,0.21922222222222223,38.71,32.77,18.99,0.5413333333333333
2014-01-17,0.52,0.09034333333333332,0.22922222222222224,39.78,24.05,14.29,0.4542222222222222
2014-01-18,0.45999999999999996,0.0792611111111111,0.249,38.84,22.52,13.67,0.5413333333333333
2014-01-19,0.45,0.07939777777777778,0.27022222222222225,38.15,29.219999999999995,17.8,0.4542222222222222
2014-01-20,0.57,0.0911,0.28,38.71,27.689999999999998,17.65,0.5413333333333333
2014-01-21,0.6,0.08804777777777778,0.29844444444444446,38.14,24.689999999999998,15.93,0.4542222222222222
2014-01-22,0.6,0.08064555555555555,0.3378888888888889,37.66,20.4,12.98,0.5404444444444445
2014-01-23,0.72,0.08290555555555555,0.30977777777777776,38.89,22.45,13.84,0.4542222222222222
2014-01-24,0.54,0.08158444444444446,0.6084444444444445,39.22,19.52,12.2,0.5404444444444445
2014-01-25,1.1,0.08217666666666666,0.5836666666666666,37.29,18.99,12.7,0.533
2014-01-26,1.52,0.07996666666666667,0.7107777777777777,35.85,27.12,18.45,0.4488888888888889
2014-01-27,0.87,0.07554555555555556,0.4263333333333333,36.71,18.63,12.41,0.533
2014-01-28,0.75,0.07299,0.4078888888888889,37.77,13.969999999999999,9.17,0.4488888888888889
2014-01-29,0.85,0.08384666666666667,0.4013333333333334,37.72,16.11,10.48,0.5197777777777778
2014-01-30,0.95,0.09633555555555555,0.55,37.48,23.49,15.66,0.4375555555555556
2014-01-31,0.64,0.07914555555555557,0.33766666666666667,34.83,24.979999999999997,15.7,0.5197777777777778
2014-02-01,1.25,0.07672333333333334,0.23155555555555554,34.75,16.44,10.89,0.5143888888888889
2014-02-02,2.84,0.08227666666666668,0.41477777777777775,30.86,25.020000000000003,17.42,0.4375555555555556
2014-02-03,3.0899999999999994,0.08826444444444445,0.8188888888888889,29.84,23.5,16.53,0.5281111111111111
2014-02-04,2.8,0.07943333333333333,0.8005555555555556,29.99,18.61,13.13,0.444
2014-02-05,1.75,0.06919777777777777,0.6735555555555556,29.939999999999998,13.530000000000001,9.52,0.5019444444444445
2014-02-06,1.8,0.06510666666666666,0.6053333333333333,32.78,15.87,11.03,0.4258333333333333
2014-02-07,2.01,0.06648333333333334,0.585111111111111,33.27,22.15,14.98,0.5019444444444445
2014-02-08,1.76,0.07919888888888889,0.4951111111111111,35.19,15.0,10.24,0.4258333333333333
2014-02-09,1.8300000000000003,0.08159999999999999,0.644,34.6,21.14,14.67,0.5019444444444445
2014-02-10,2.02,0.07936,0.8622222222222221,34.86,22.89,16.08,0.5038888888888889
2014-02-11,2.01,0.08029777777777777,0.5692222222222222,35.69,18.89,13.27,0.427
2014-02-12,0.94,0.09239555555555555,0.3586666666666667,40.69,26.39,17.36,0.5038888888888889
2014-02-13,1.15,0.10221999999999999,0.43133333333333335,41.22,19.89,13.510000000000002,0.427
2014-02-14,1.5,0.10429222222222223,0.784,38.03,21.47,14.98,0.49566666666666664
2014-02-15,1.1,0.1078288888888889,0.5223333333333334,37.07,14.140000000000002,9.9,0.4278333333333333
2014-02-16,1.36,0.11041444444444445,0.4971111111111111,36.42,16.97,11.79,0.4980555555555556
2014-02-17,1.43,0.10107,0.5276666666666667,40.3,22.58,15.23,0.49111111111111116
