uuid,adm4_pcode,date,freq,avg_rad_min,avg_rad_max,avg_rad_mean,avg_rad_std,avg_rad_median
NTLGT00001E,PH063022023,2012-01-01,Y,3.3004729747772217,3.4444587230682373,3.372465848922729,0.0719928741455078,3.372465848922729
NTLGT00001F,PH063022060,2012-01-01,Y,3.901755809783936,4.989395618438721,4.586708068847656,0.4868232037727401,4.868973255157471
NTLGT000020,PH063022159,2012-01-01,Y,,,,,
NTLGT000021,PH063022181,2012-01-01,Y,12.129403114318848,12.129403114318848,12.129403114318848,0.0,12.129403114318848
NTLGT000022,PH063022011,2012-01-01,Y,0.786044716835022,4.695382118225098,2.495163154602051,1.2149381918183106,2.358436107635498
NTLGT000023,PH063022043,2012-01-01,Y,,,,,
NTLGT000024,PH063022177,2012-01-01,Y,1.2216689586639404,3.938688278198242,2.2862508437212776,0.7777472347594153,2.4767491817474365
NTLGT000025,PH063022115,2012-01-01,Y,2.0564632415771484,5.72539758682251,3.775354385375977,1.3379736496919126,3.490274429321289
NTLGT000026,PH063022071,2012-01-01,Y,,,,,
NTLGT000027,PH063022188,2012-01-01,Y,10.18116569519043,10.18116569519043,10.18116569519043,0.0,10.18116569519043
NTLGT000028,PH063022045,2012-01-01,Y,,,,,
NTLGT000029,PH063022168,2012-01-01,Y,1.5282025337219238,3.3046629428863525,2.5984130859375,0.7714072356556815,3.071931838989258
NTLGT00002A,PH063022069,2012-01-01,Y,,,,,
NTLGT00002B,PH063022169,2012-01-01,Y,12.36938190460205,12.36938190460205,12.36938190460205,0.0,12.36938190460205
NTLGT00002C,PH072230023,2012-01-01,Y,9.04165744781494,20.32206153869629,12.997444152832031,3.917699928133521,11.383617401123049
NTLGT00002D,PH072230001,2012-01-01,Y,22.113983154296875,30.889324188232425,25.59722900390625,2.982467026833864,25.70945167541504
NTLGT00002E,PH072230014,2012-01-01,Y,9.572198867797852,14.211037635803224,11.936927795410156,1.639585743345921,11.85740089416504
NTLGT00002F,PH072230006,2012-01-01,Y,28.047367095947266,38.454811096191406,33.25109100341797,5.20372200012242,33.25109100341797
NTLGT000030,PH072230011,2012-01-01,Y,7.342517852783203,9.67123794555664,8.327454884847006,0.9839757256284596,7.968608379364014
NTLGT000031,PH072230024,2012-01-01,Y,4.854523658752441,9.83466911315918,7.516871770222981,1.7768730345417836,7.678556442260742
